predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
lDLPFC_to_lIFG_T2	lDLPFC_to_lPTL_T2	0.13077117040914704	0.13077117040914704	0.5	0.5
lDLPFC_to_lIFG_T2	rDLPFC_to_lIFG_T2	0.13077117040914704	0.10841677569268947	0.00014772869888575558	0.0006370800139448209
lDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.13077117040914704	0.11062584223023485	0.0004695059048578094	0.0016197953717594423
lDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.13077117040914704	0.11062584223023485	0.0004695059048578094	0.0016197953717594423
lDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.13077117040914704	0.13077117040914704	0.5	0.5
lDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.13077117040914704	0.1161460558503259	0.03345015553964764	0.06653374354032837
lDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.13077117040914704	0.13077117040914704	0.5	0.5
lDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.13077117040914704	0.10841677569268947	0.00014772869888575558	0.0006370800139448209
lDLPFC_to_lPTL_T2	rDLPFC_to_lIFG_T2	0.13077117040914704	0.10841677569268947	0.00014772869888575558	0.0006370800139448209
lDLPFC_to_lPTL_T2	rDLPFC_to_lPTL_T2	0.13077117040914704	0.11062584223023485	0.0004695059048578094	0.0016197953717594423
lDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.13077117040914704	0.11062584223023485	0.0004695059048578094	0.0016197953717594423
lDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.13077117040914704	0.13077117040914704	0.5	0.5
lDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.13077117040914704	0.1161460558503259	0.03345015553964764	0.06653374354032837
lDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.13077117040914704	0.13077117040914704	0.5	0.5
lDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.13077117040914704	0.10841677569268947	0.00014772869888575558	0.0006370800139448209
rDLPFC_to_lIFG_T2	rDLPFC_to_lPTL_T2	0.10841677569268947	0.11062584223023485	0.37543726513401277	0.5
rDLPFC_to_lIFG_T2	lSMA_to_lIFG_T2	0.10841677569268947	0.11062584223023485	0.37543726513401277	0.5
rDLPFC_to_lIFG_T2	lSMA_to_lPTL_T2	0.10841677569268947	0.13077117040914704	0.00014772869888575558	0.0006370800139448209
rDLPFC_to_lIFG_T2	lIFG_to_lPTL_T2	0.10841677569268947	0.1161460558503259	0.18484830232103078	0.31886332150377805
rDLPFC_to_lIFG_T2	lPTL_to_lIFG_T2	0.10841677569268947	0.13077117040914704	0.00014772869888575558	0.0006370800139448209
rDLPFC_to_lIFG_T2	rIFG_to_lIFG_T2	0.10841677569268947	0.10841677569268947	0.5	0.5
rDLPFC_to_lPTL_T2	lSMA_to_lIFG_T2	0.11062584223023485	0.11062584223023485	0.5	0.5
rDLPFC_to_lPTL_T2	lSMA_to_lPTL_T2	0.11062584223023485	0.13077117040914704	0.0004695059048578094	0.0016197953717594423
rDLPFC_to_lPTL_T2	lIFG_to_lPTL_T2	0.11062584223023485	0.1161460558503259	0.25910546409773244	0.42408444054749833
rDLPFC_to_lPTL_T2	lPTL_to_lIFG_T2	0.11062584223023485	0.13077117040914704	0.0004695059048578094	0.0016197953717594423
rDLPFC_to_lPTL_T2	rIFG_to_lIFG_T2	0.11062584223023485	0.10841677569268947	0.37543726513401277	0.5
lSMA_to_lIFG_T2	lSMA_to_lPTL_T2	0.11062584223023485	0.13077117040914704	0.0004695059048578094	0.0016197953717594423
lSMA_to_lIFG_T2	lIFG_to_lPTL_T2	0.11062584223023485	0.1161460558503259	0.25910546409773244	0.42408444054749833
lSMA_to_lIFG_T2	lPTL_to_lIFG_T2	0.11062584223023485	0.13077117040914704	0.0004695059048578094	0.0016197953717594423
lSMA_to_lIFG_T2	rIFG_to_lIFG_T2	0.11062584223023485	0.10841677569268947	0.37543726513401277	0.5
lSMA_to_lPTL_T2	lIFG_to_lPTL_T2	0.13077117040914704	0.1161460558503259	0.03345015553964764	0.06653374354032837
lSMA_to_lPTL_T2	lPTL_to_lIFG_T2	0.13077117040914704	0.13077117040914704	0.5	0.5
lSMA_to_lPTL_T2	rIFG_to_lIFG_T2	0.13077117040914704	0.10841677569268947	0.00014772869888575558	0.0006370800139448209
lIFG_to_lPTL_T2	lPTL_to_lIFG_T2	0.1161460558503259	0.13077117040914704	0.03345015553964764	0.06653374354032837
lIFG_to_lPTL_T2	rIFG_to_lIFG_T2	0.1161460558503259	0.10841677569268947	0.18484830232103078	0.31886332150377805
lPTL_to_lIFG_T2	rIFG_to_lIFG_T2	0.13077117040914704	0.10841677569268947	0.00014772869888575558	0.0006370800139448209
