Predicting improvement T2-T1	Predicting ability T2	Predicting improvement T3-T1	Predicting improvement T3-T2	Predicting ability T3
('lDLPFC_to_lPTL_T1', 0.0)	('lDLPFC_to_lPTL_T1', 0.0)	('lSMA_to_lPTL_T2', -0.02513215543130234)	('lSMA_to_lPTL_T1', -0.0013539978810689793)	('rDLPFC_to_lIFG_T1', -0.004191790672180649)
('lIFG_to_lPTL_T1', 0.0)	('lIFG_to_lPTL_T1', 0.0)	('L_DLPFC_T1', -0.02463251442562181)	('lDLPFC_to_lPTL_T2', 0.0009322536399401917)	('L_IFGorb_T2', 0.001545655886966004)
('Age', 0.0)	('Age', 0.0)	('L_IFGorb_T2', 0.017852359531500713)	('L_DLPFC_T1', -0.0008000904241228827)	('lDLPFC_to_lIFG_T2', -0.0012615049637618042)
		('lSMA_to_lPTL_T1', -0.005716716212055334)	('L_SMA_T2', 0.0007128595709783058)	('T1', 0.0010836584384124766)
		('L_IFGorb', -0.004979942712701815)	('L_SMA_T1', 0.0005077855887838492)	('L_SMA_T2', 0.0010186485434648853)
		('lDLPFC_to_lPTL_T2', 0.0010945970657767574)	('L_IFGorb_T1', 0.0003717263361449017)	('rIFG_to_lIFG_T1', 0.0009090092206468283)
		('rDLPFC_to_lIFG_T1', -0.0009748452775093381)	('lDLPFC_to_lPTL_T1', 0.00017321876471934348)	('lIFG_to_lPTL_T2', -0.0008461233024300498)
		('L_SMA_T1', 0.00048739767538479)	('L_IFGorb', 0.0)	('lSMA_to_lPTL_T1', 0.0006534928609520307)
		('lIFG_to_lPTL_T2', -0.00042480990650793654)	('L_PTL', 0.0)	('lSMA_to_lPTL_T2', 0.00046940824488271495)
		('rDLPFC_to_lIFG_T2', -0.00034645044301596494)	('L_SMA', 0.0)	('L_PTL', 0.0)
		('lSMA_to_lIFG_T1', -0.0003113891447222381)	('L_PTL_T2', 0.0)	('L_DLPFC_T1', 0.0)
		('lDLPFC_to_lIFG_T2', 0.00029910174604317604)	('lDLPFC_to_lIFG_T1', 0.0)	('L_SMA_T1', 0.0)
		('L_SMA_T2', 0.00025919247084452645)	('rDLPFC_to_lIFG_T1', 0.0)	('L_DLPFC_T2', 0.0)
		('lDLPFC_to_lIFG_T1', 0.00015729167157322481)	('lPTL_to_lIFG_T1', 0.0)	('L_PTL_T2', 0.0)
		('L_IFGorb_T1', 4.4836494093481226e-05)	('lIFG_to_lPTL_T1', 0.0)	('lSMA_to_lIFG_T1', 0.0)
		('L_PTL', 0.0)	('lDLPFC_to_lIFG_T2', 0.0)	('lDLPFC_to_lIFG_T1', 0.0)
		('L_DLPFC_T2', 0.0)	('rDLPFC_to_lIFG_T2', 0.0)	('lPTL_to_lIFG_T1', 0.0)
		('R_IFGorb_T2', 0.0)	('rDLPFC_to_lPTL_T2', 0.0)	('rDLPFC_to_lIFG_T2', 0.0)
		('lPTL_to_lIFG_T1', 0.0)	('lIFG_to_lPTL_T2', 0.0)	('lDLPFC_to_lPTL_T2', 0.0)
