target	predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
T1	L_PTL	L_IFGorb	0.1457921703593623	0.1457921703593623	0.5	0.5
T1	L_PTL	L_DLPFC	0.1457921703593623	0.20314114824202728	7.274258601528434e-38	5.538646022918142e-37
T1	L_IFGorb	L_DLPFC	0.1457921703593623	0.20314114824202728	7.274258601528434e-38	5.538646022918142e-37
T2	L_PTL	L_IFGorb	0.17277270108598197	0.17277270108598197	0.5	0.5
T2	L_PTL	L_DLPFC	0.17277270108598197	0.22498226151834208	1.4633100809883767e-39	1.1546846820890099e-38
T2	L_IFGorb	L_DLPFC	0.17277270108598197	0.22498226151834208	1.4633100809883767e-39	1.1546846820890099e-38
T3	L_PTL	L_IFGorb	0.20588251508722114	0.20588251508722114	0.5	0.5
T3	L_PTL	L_DLPFC	0.20588251508722114	0.12487114440296573	2.1510955341096643e-178	2.333938654508986e-176
T3	L_IFGorb	L_DLPFC	0.20588251508722114	0.12487114440296573	2.1510955341096643e-178	2.333938654508986e-176
T2-T1	L_PTL	L_IFGorb	0.21405075158857162	0.21405075158857162	0.5	0.5
T2-T1	L_PTL	L_DLPFC	0.21405075158857162	0.3564361481138979	6.066397077752389e-105	4.388027219574228e-103
T2-T1	L_IFGorb	L_DLPFC	0.21405075158857162	0.3564361481138979	6.066397077752389e-105	4.388027219574228e-103
T3-T2	L_PTL	L_IFGorb	0.06122806778253169	0.06122806778253169	0.5	0.5
T3-T2	L_PTL	L_DLPFC	0.06122806778253169	0.2162598585626165	4.458320780856635e-205	9.674556094458898e-203
T3-T2	L_IFGorb	L_DLPFC	0.06122806778253169	0.2162598585626165	4.458320780856635e-205	9.674556094458898e-203
T3-T1	L_PTL	L_IFGorb	0.2393509854936415	0.2393509854936415	0.5	0.5
T3-T1	L_PTL	L_DLPFC	0.2393509854936415	0.3431328163479435	1.8790494099552612e-95	1.0193843049007293e-93
T3-T1	L_IFGorb	L_DLPFC	0.2393509854936415	0.3431328163479435	1.8790494099552612e-95	1.0193843049007293e-93
