target	predictor_family	predictor	avg_corr	raw_p	fdr-corrected_p
T2-T1	connectivity T1	rDLPFC_to_lPTL_T1	0.11794025974025973	0.59	0.8329411764705883
T2-T1	connectivity T1	lDLPFC_to_lPTL_T1	0.12331038961038959	0.56	0.8329411764705883
T2-T1	activations T2	R_IFGorb_T2	0.030816883116883118	0.826	0.884043956043956
T2-T1	activations T1	L_IFGorb_T1	-0.04883246753246753	0.834	0.884043956043956
T3-T2	connectivity T2	lSMA_to_lIFG_T2	-0.33481168831168834	0.066	0.6719999999999999
T3-T2	activations T2	R_IFGorb_T2	0.3886116883116883	0.06	0.6719999999999999
T3-T2	activations T1	L_IFGorb_T1	0.26915974025974027	0.18	0.7131428571428571
T3-T2	activations T3	R_IFGorb_T3	0.3282844155844156	0.08	0.6719999999999999
T3-T2	activations T1	R_IFGorb_T1	0.3721064935064935	0.06	0.6719999999999999
T3-T2	activations T3	L_IFGorb_T3	0.2600025974025974	0.176	0.7131428571428571
T3-T2	connectivity T2	lDLPFC_to_lPTL_T2	0.1338012987012987	0.542	0.8329411764705883
T3-T2	connectivity T2	rDLPFC_to_lPTL_T2	0.15535064935064935	0.458	0.8329411764705883
T3-T2	activations T2	L_IFGorb_T2	0.2510467532467533	0.192	0.7131428571428571
T3-T2	activations T3	L_DLPFC_T3	0.149112987012987	0.41	0.8329411764705883
T3-T2	connectivity T2	lPTL_to_lIFG_T2	0.3680883116883117	0.066	0.6719999999999999
T3-T2	connectivity T2	lSMA_to_lPTL_T2	-0.27787272727272727	0.204	0.7131428571428571
T3-T2	activations T2	L_PTL_T2	0.20025194805194804	0.318	0.7268571428571429
T3-T2	activations T3	L_SMA_T3	0.17058051948051944	0.37	0.8072727272727273
T3-T2	activations T3	L_PTL_T3	0.20918831168831167	0.276	0.7161081081081082
T3-T2	connectivity T2	rIFG_to_lIFG_T2	-0.1309961038961039	0.584	0.8329411764705883
T3-T2	activations T2	L_SMA_T2	0.2435350649350649	0.208	0.7131428571428571
T3-T2	activations T2	L_DLPFC_T2	0.20442467532467531	0.294	0.7268571428571429
T3-T2	activations T1	R_DLPFC_T1	0.35595324675324674	0.086	0.6719999999999999
T3-T2	activations T1	L_PTL_T1	0.30565064935064934	0.1	0.6719999999999999
T3-T2	activations T3	R_DLPFC_T3	0.29464805194805194	0.08	0.6719999999999999
T3-T2	connectivity T2	rDLPFC_to_lIFG_T2	0.06082207792207792	0.728	0.8559036144578313
T3-T2	connectivity T2	lDLPFC_to_lIFG_T2	0.17891818181818184	0.414	0.8329411764705883
T3-T2	activations T2	R_DLPFC_T2	0.4003142857142857	0.04	0.6719999999999999
T3-T2	connectivity T2	lIFG_to_lPTL_T2	0.05952077922077922	0.75	0.8571428571428571
T3-T2	activations T1	L_DLPFC_T1	0.05825324675324676	0.814	0.884043956043956
T3-T2	activations T1	L_SMA_T1	0.24020389610389611	0.232	0.7161081081081082
T1	activations T1	R_DLPFC_T1	-0.3841883116883117	0.046	0.6719999999999999
T1	activations T1	L_IFGorb_T1	-0.12787012987012986	0.504	0.8329411764705883
T1	activations T1	L_SMA_T1	-0.32445584415584416	0.076	0.6719999999999999
T1	activations T1	R_IFGorb_T1	-0.2880246753246753	0.12	0.6719999999999999
T1	activations T1	L_PTL_T1	-0.2938272727272727	0.126	0.6719999999999999
T1	activations T1	L_DLPFC_T1	-0.05503896103896104	0.74	0.8559036144578313
