predictor_one	predictor_two	average_corr_one	average_corr_two	raw_permutation_p	fdr_corrected_p
lDLPFC_to_lIFG_T1	lDLPFC_to_lPTL_T1	0.06420594835581207	0.07116102073383854	0.002997002997002997	0.005047583994952416
lDLPFC_to_lIFG_T1	rDLPFC_to_lIFG_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
lDLPFC_to_lIFG_T1	rDLPFC_to_lPTL_T1	0.06420594835581207	0.07837212720192424	0.000999000999000999	0.0018470418470418473
lDLPFC_to_lIFG_T1	lSMA_to_lIFG_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
lDLPFC_to_lIFG_T1	lSMA_to_lPTL_T1	0.06420594835581207	0.07116102073383854	0.002997002997002997	0.005047583994952416
lDLPFC_to_lIFG_T1	lIFG_to_lPTL_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
lDLPFC_to_lIFG_T1	lPTL_to_lIFG_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
lDLPFC_to_lIFG_T1	rIFG_to_lIFG_T1	0.06420594835581207	0.051655234951100436	0.000999000999000999	0.0018470418470418473
lDLPFC_to_lPTL_T1	rDLPFC_to_lIFG_T1	0.07116102073383854	0.06420594835581207	0.001998001998001998	0.0034204478648923093
lDLPFC_to_lPTL_T1	rDLPFC_to_lPTL_T1	0.07116102073383854	0.07837212720192424	0.006993006993006993	0.011363636363636362
lDLPFC_to_lPTL_T1	lSMA_to_lIFG_T1	0.07116102073383854	0.06420594835581207	0.001998001998001998	0.0034204478648923093
lDLPFC_to_lPTL_T1	lSMA_to_lPTL_T1	0.07116102073383854	0.07116102073383854	1.0	1.0
lDLPFC_to_lPTL_T1	lIFG_to_lPTL_T1	0.07116102073383854	0.06420594835581207	0.000999000999000999	0.0018470418470418473
lDLPFC_to_lPTL_T1	lPTL_to_lIFG_T1	0.07116102073383854	0.06420594835581207	0.004995004995004995	0.008245722531436817
lDLPFC_to_lPTL_T1	rIFG_to_lIFG_T1	0.07116102073383854	0.051655234951100436	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lIFG_T1	rDLPFC_to_lPTL_T1	0.06420594835581207	0.07837212720192424	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lIFG_T1	lSMA_to_lIFG_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
rDLPFC_to_lIFG_T1	lSMA_to_lPTL_T1	0.06420594835581207	0.07116102073383854	0.001998001998001998	0.0034204478648923093
rDLPFC_to_lIFG_T1	lIFG_to_lPTL_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
rDLPFC_to_lIFG_T1	lPTL_to_lIFG_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
rDLPFC_to_lIFG_T1	rIFG_to_lIFG_T1	0.06420594835581207	0.051655234951100436	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lPTL_T1	lSMA_to_lIFG_T1	0.07837212720192424	0.06420594835581207	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lPTL_T1	lSMA_to_lPTL_T1	0.07837212720192424	0.07116102073383854	0.008991008991008992	0.014441157298300157
rDLPFC_to_lPTL_T1	lIFG_to_lPTL_T1	0.07837212720192424	0.06420594835581207	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lPTL_T1	lPTL_to_lIFG_T1	0.07837212720192424	0.06420594835581207	0.000999000999000999	0.0018470418470418473
rDLPFC_to_lPTL_T1	rIFG_to_lIFG_T1	0.07837212720192424	0.051655234951100436	0.000999000999000999	0.0018470418470418473
lSMA_to_lIFG_T1	lSMA_to_lPTL_T1	0.06420594835581207	0.07116102073383854	0.000999000999000999	0.0018470418470418473
lSMA_to_lIFG_T1	lIFG_to_lPTL_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
lSMA_to_lIFG_T1	lPTL_to_lIFG_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
lSMA_to_lIFG_T1	rIFG_to_lIFG_T1	0.06420594835581207	0.051655234951100436	0.000999000999000999	0.0018470418470418473
lSMA_to_lPTL_T1	lIFG_to_lPTL_T1	0.07116102073383854	0.06420594835581207	0.001998001998001998	0.0034204478648923093
lSMA_to_lPTL_T1	lPTL_to_lIFG_T1	0.07116102073383854	0.06420594835581207	0.002997002997002997	0.005047583994952416
lSMA_to_lPTL_T1	rIFG_to_lIFG_T1	0.07116102073383854	0.051655234951100436	0.000999000999000999	0.0018470418470418473
lIFG_to_lPTL_T1	lPTL_to_lIFG_T1	0.06420594835581207	0.06420594835581207	1.0	1.0
lIFG_to_lPTL_T1	rIFG_to_lIFG_T1	0.06420594835581207	0.051655234951100436	0.000999000999000999	0.0018470418470418473
lPTL_to_lIFG_T1	rIFG_to_lIFG_T1	0.06420594835581207	0.051655234951100436	0.000999000999000999	0.0018470418470418473
