target	predictor	raw_p	fdr_p	t-max_p
T3	T2	0.000999000999000999	0.0040222934959777065	0.000999000999000999
T3	L_PTL_T1	0.000999000999000999	0.0040222934959777065	0.000999000999000999
T3	R_DLPFC_T2	0.000999000999000999	0.0040222934959777065	0.000999000999000999
T3	lSMA_to_lIFG_T2	0.000999000999000999	0.0040222934959777065	0.000999000999000999
T3	Age	0.000999000999000999	0.0040222934959777065	0.000999000999000999
T3	R_DLPFC_T1	0.002997002997002997	0.010663754849801362	0.15784215784215785
T3	rDLPFC_to_lPTL_T2	0.000999000999000999	0.0040222934959777065	0.17082917082917082
T3	lPTL_to_lIFG_T2	0.000999000999000999	0.0040222934959777065	0.17682317682317683
T3	R_IFGorb_T1	0.000999000999000999	0.0040222934959777065	0.1848151848151848
T3	lDLPFC_to_lPTL_T1	0.003996003996003996	0.01329105676931764	0.27172827172827174
T3	rIFG_to_lIFG_T2	0.001998001998001998	0.007642357642357642	0.02197802197802198
T3	L_DLPFC	0.023976023976023976	0.07642357642357643	0.5124875124875125
T3	rDLPFC_to_lPTL_T1	0.057942057942057944	0.18035964035964036	0.7292707292707292
T3	L_IFGorb_T1	0.14685314685314685	0.41608391608391604	0.987012987012987
T3	R_IFGorb_T2	0.13486513486513488	0.3950954705671687	0.977022977022977
T3	L_SMA	0.13686313686313686	0.3950954705671687	0.9660339660339661
T3	lIFG_to_lPTL_T1	0.11888111888111888	0.35664335664335667	0.17082917082917082
T3	L_IFGorb	0.22677322677322678	0.5880729440051474	0.19080919080919082
T3	rDLPFC_to_lIFG_T1	0.3076923076923077	0.7846153846153847	0.2017982017982018
T3	L_IFGorb_T2	0.996003996003996	0.996003996003996	0.31368631368631367
T3	lDLPFC_to_lIFG_T2	0.5784215784215784	0.8539503974286583	0.2517482517482518
T3	T1	0.9120879120879121	0.9365734936204735	0.2967032967032967
T3	L_SMA_T2	0.8461538461538461	0.8747401247401247	0.29270729270729273
T3	rIFG_to_lIFG_T1	0.919080919080919	0.9374625374625375	0.28771228771228774
T3	lIFG_to_lPTL_T2	0.6283716283716284	0.8539503974286583	0.25574425574425574
T3	lSMA_to_lPTL_T1	0.8281718281718282	0.86787869664582	0.28471528471528473
T3	lSMA_to_lPTL_T2	0.8281718281718282	0.86787869664582	0.2807192807192807
T3	L_PTL	0.7412587412587412	0.8539503974286583	0.2707292707292707
T3	L_DLPFC_T1	0.7102897102897103	0.8539503974286583	0.2707292707292707
T3	L_SMA_T1	0.7052947052947053	0.8539503974286583	0.2707292707292707
T3	L_DLPFC_T2	0.7282717282717283	0.8539503974286583	0.2707292707292707
T3	L_PTL_T2	0.7702297702297702	0.8539503974286583	0.2707292707292707
T3	lSMA_to_lIFG_T1	0.7942057942057942	0.8582955506032429	0.2707292707292707
T3	lDLPFC_to_lIFG_T1	0.7422577422577422	0.8539503974286583	0.2707292707292707
T3	lPTL_to_lIFG_T1	0.7322677322677322	0.8539503974286583	0.2707292707292707
T3	rDLPFC_to_lIFG_T2	0.7072927072927073	0.8539503974286583	0.2707292707292707
T3	lDLPFC_to_lPTL_T2	0.7112887112887113	0.8539503974286583	0.2707292707292707
T2	T1	0.000999000999000999	0.0040222934959777065	0.000999000999000999
T2	lSMA_to_lIFG_T1	0.6553446553446554	0.8539503974286583	0.22677322677322678
T2	L_DLPFC	0.7212787212787213	0.8539503974286583	0.24075924075924077
T2	L_IFGorb	0.7152847152847153	0.8539503974286583	0.23876123876123875
T2	L_PTL	0.7032967032967034	0.8539503974286583	0.23876123876123875
T2	L_SMA	0.7792207792207793	0.8577034476315052	0.23876123876123875
